roomID,receiverType,label_r,x_r,y_r,z_r,sourceType,label_s,x_s,y_s,z_s,dist_gt,filename,split
Room_5,Spatial,Receiver_56,-0.1,-1.05,1.0,Omni,Source_2,-0.74,-1.69,1.15,0.9174420962654808,Room_5_Source_2_Receiver_56_IR_Spatial.wav,enrollment_1
Room_5,Spatial,Receiver_56,-0.1,-1.05,1.0,Omni,Source_3,-2.05,-0.15,1.35,2.176005514698894,Room_5_Source_3_Receiver_56_IR_Spatial.wav,enrollment_1
Room_5,Spatial,Receiver_56,-0.1,-1.05,1.0,Omni,Source_4,0.75,-1.97,1.6,1.3888484438555562,Room_5_Source_4_Receiver_56_IR_Spatial.wav,enrollment_1
Room_6,Spatial,Receiver_1,0.4,-1.9,1.0,Omni,Source_4,2.35,2.4,0.86,4.723568566243111,Room_6_Source_4_Receiver_1_IR_Spatial.wav,enrollment_2
Room_6,Spatial,Receiver_4,0.9,-1.9,1.0,Omni,Source_4,2.35,2.4,0.86,4.5400550657453485,Room_6_Source_4_Receiver_4_IR_Spatial.wav,enrollment_2
Room_6,Spatial,Receiver_43,2.4,-1.4,1.5,Omni,Source_1,-2.4,-1.22,1.5,4.803373814310104,Room_6_Source_1_Receiver_43_IR_Spatial.wav,enrollment_2
Room_6,Spatial,Receiver_46,0.4,-0.9,1.5,Omni,Source_4,2.35,2.4,0.86,3.8861420457826807,Room_6_Source_4_Receiver_46_IR_Spatial.wav,enrollment_2
Room_6,Spatial,Receiver_67,2.4,-0.4,1.5,Omni,Source_1,-2.4,-1.22,1.5,4.869537965762254,Room_6_Source_1_Receiver_67_IR_Spatial.wav,enrollment_2
Room_7,Spatial,Receiver_55,-1.8,-0.15,1.0,Omni,Source_0,-2.95,-1.1,1.35,1.5321553446044565,Room_7_Source_0_Receiver_55_IR_Spatial.wav,enrollment_1
Room_7,Spatial,Receiver_55,-1.8,-0.15,1.0,Omni,Source_1,-3.4,0.08,1.15,1.6233915116200404,Room_7_Source_1_Receiver_55_IR_Spatial.wav,enrollment_1
Room_7,Spatial,Receiver_55,-1.8,-0.15,1.0,Omni,Source_2,-1.32,1.6,1.12,1.8185983613761447,Room_7_Source_2_Receiver_55_IR_Spatial.wav,enrollment_1
Room_7,Spatial,Receiver_55,-1.8,-0.15,1.0,Omni,Source_3,-1.65,-2.45,2.0,2.512468905280223,Room_7_Source_3_Receiver_55_IR_Spatial.wav,enrollment_1
Room_7,Spatial,Receiver_55,-1.8,-0.15,1.0,Omni,Source_4,-2.64,0.05,1.5,0.9977975746613138,Room_7_Source_4_Receiver_55_IR_Spatial.wav,enrollment_1
Room_8,Spatial,Receiver_4,-0.55,-0.4,1.0,Omni,Source_4,-2.95,2.8,1.36,4.016167327191436,Room_8_Source_4_Receiver_4_IR_Spatial.wav,enrollment_2
Room_8,Spatial,Receiver_7,-0.05,-0.4,1.0,Omni,Source_4,-2.95,2.8,1.36,4.333543584642942,Room_8_Source_4_Receiver_7_IR_Spatial.wav,enrollment_2
Room_8,Spatial,Receiver_8,-0.05,-0.4,1.5,Omni,Source_4,-2.95,2.8,1.36,4.32083325297332,Room_8_Source_4_Receiver_8_IR_Spatial.wav,enrollment_2
Room_8,Spatial,Receiver_18,-0.05,0.1,1.0,Omni,Source_1,-3.13,2.6,1.5,3.998299638596387,Room_8_Source_1_Receiver_18_IR_Spatial.wav,enrollment_2
Room_8,Spatial,Receiver_19,-0.05,0.1,1.5,Omni,Source_1,-3.13,2.6,1.5,3.966913157607562,Room_8_Source_1_Receiver_19_IR_Spatial.wav,enrollment_2
Room_9,Spatial,Receiver_9,0.8,1.0,1.5,Omni,Source_0,1.158,1.575,1.0,0.8418960743464717,Room_9_Source_0_Receiver_9_IR_Spatial.wav,enrollment_1
Room_9,Spatial,Receiver_9,0.8,1.0,1.5,Omni,Source_1,1.158,0.75,1.0,0.6638252782170923,Room_9_Source_1_Receiver_9_IR_Spatial.wav,enrollment_1
Room_9,Spatial,Receiver_9,0.8,1.0,1.5,Omni,Source_2,1.158,0.7,1.15,0.5836642870692021,Room_9_Source_2_Receiver_9_IR_Spatial.wav,enrollment_1
Room_9,Spatial,Receiver_9,0.8,1.0,1.5,Omni,Source_3,1.158,0.45,1.319,0.6807532592650585,Room_9_Source_3_Receiver_9_IR_Spatial.wav,enrollment_1
Room_9,Spatial,Receiver_9,0.8,1.0,1.5,Omni,Source_4,0.7,1.162,1.15,0.3984269067219231,Room_9_Source_4_Receiver_9_IR_Spatial.wav,enrollment_1
Room_10,Spatial,Receiver_28,1.3,3.5,1.5,Omni,Source_2,0.266,0.45,1.275,3.228355773454964,Room_10_Source_2_Receiver_28_IR_Spatial.wav,enrollment_2
Room_10,Spatial,Receiver_33,0.8,4.0,1.0,Omni,Source_1,0.7,1.486,1.15,2.520455514386239,Room_10_Source_1_Receiver_33_IR_Spatial.wav,enrollment_2
Room_10,Spatial,Receiver_33,0.8,4.0,1.0,Omni,Source_2,0.266,0.45,1.275,3.600455665606785,Room_10_Source_2_Receiver_33_IR_Spatial.wav,enrollment_2
Room_10,Spatial,Receiver_36,1.3,4.0,1.0,Omni,Source_2,0.266,0.45,1.275,3.7077325955359832,Room_10_Source_2_Receiver_36_IR_Spatial.wav,enrollment_2
Room_10,Spatial,Receiver_37,1.3,4.0,1.5,Omni,Source_2,0.266,0.45,1.275,3.704359728752055,Room_10_Source_2_Receiver_37_IR_Spatial.wav,enrollment_2
